                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 10:24:20.000            -00:41:07.753               -5.000000
1 Jul 2020 10:24:30.000            -00:41:57.753               -5.000000
1 Jul 2020 10:24:40.000            -00:42:47.753               -5.000000
1 Jul 2020 10:24:50.000            -00:43:37.753               -5.000000
1 Jul 2020 10:25:00.000            -00:44:27.753               -5.000000
1 Jul 2020 10:25:10.000            -00:45:17.753               -5.000000
1 Jul 2020 10:25:20.000            -00:46:07.753               -5.000000
1 Jul 2020 10:25:30.000            -00:46:57.753               -5.000000
1 Jul 2020 10:25:40.000            -00:47:47.753               -5.000000
1 Jul 2020 10:25:50.000            -00:48:37.753               -5.000000
1 Jul 2020 10:26:00.000            -00:49:27.753               -5.000000
1 Jul 2020 10:26:10.000            -00:50:17.753               -5.000000
1 Jul 2020 10:26:20.000            -00:51:07.753               -5.000000
1 Jul 2020 10:26:30.000            -00:51:57.753               -5.000000
1 Jul 2020 10:26:40.000            -00:52:47.753               -5.000000
1 Jul 2020 10:26:50.000            -00:53:37.753               -5.000000
1 Jul 2020 10:27:00.000            -00:54:27.753               -5.000000
1 Jul 2020 10:27:10.000            -00:55:17.753               -5.000000
1 Jul 2020 10:27:20.000            -00:56:07.753               -5.000000
1 Jul 2020 10:27:30.000            -00:56:57.753               -5.000000
1 Jul 2020 10:27:40.000            -00:57:47.753               -5.000000
1 Jul 2020 10:27:50.000            -00:58:37.753               -5.000000
1 Jul 2020 10:28:00.000            -00:59:27.753               -5.000000
1 Jul 2020 10:28:10.000            -01:00:17.753               -5.000000
1 Jul 2020 10:28:20.000            -01:01:07.753               -5.000000
1 Jul 2020 10:28:30.000            -01:01:57.753               -5.000000
1 Jul 2020 10:28:40.000            -01:02:20.609                0.000000
1 Jul 2020 10:28:50.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:00.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:10.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:20.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:30.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:40.000            -01:02:20.609                0.000000
1 Jul 2020 10:29:50.000            -01:02:20.609                0.000000
1 Jul 2020 10:30:00.000            -01:02:20.609                0.000000
1 Jul 2020 10:30:10.000            -01:02:20.609                0.000000
