                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
1 Jul 2020 10:36:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:36:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:36:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:36:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:37:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:38:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:39:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:40:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:41:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:42:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:43:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:43:10.000                 -13:13:17.797                     0.000000
